flow_id,payload_length,time_diff
45942.0,45,0.0
45942.0,85,0.0063338279724121
45555.0,1358,0.0122730731964111
45555.0,1358,0.0229380130767822
45555.0,39,1.5020370483398438e-05
45555.0,47,0.0033409595489501
45555.0,36,0.0002529621124267
45555.0,1358,0.0018770694732666
45555.0,1358,0.0004839897155761
45555.0,982,1.9073486328125e-05
45555.0,1191,0.0003948211669921
45555.0,28,0.004838228225708
45555.0,28,0.0015158653259277
45555.0,395,0.1612269878387451
45555.0,26,2.002716064453125e-05
45555.0,39,0.0019319057464599
45555.0,39,0.0002181529998779
45555.0,1358,2.5945420265197754
45555.0,1358,0.0003519058227539
45555.0,982,0.0004589557647705
45555.0,1030,1.1920928955078123e-05
45555.0,28,0.0052533149719238
45555.0,28,0.0006740093231201
45555.0,155,0.173609972000122
45555.0,26,0.000119924545288
45555.0,36,0.0014858245849609
45553.0,186,0.3615319728851318
45553.0,186,3.552436828613281e-05
45553.0,413,0.000307559967041
45553.0,413,7.867813110351562e-06
45553.0,436,0.0026731491088867
45553.0,436,3.3855438232421875e-05
45553.0,234,1.71661376953125e-05
45553.0,234,4.0531158447265625e-06
45553.0,186,1.01686692237854
45553.0,186,3.0040740966796875e-05
45553.0,413,0.0002260208129882
45553.0,413,1.0013580322265623e-05
45553.0,436,0.0427298545837402
45553.0,436,2.2172927856445312e-05
45553.0,234,1.0967254638671877e-05
45553.0,234,2.1457672119140625e-06
45938.0,40,0.2292168140411377
45938.0,56,0.0314350128173828
45560.0,1358,0.0128509998321533
45560.0,1358,0.0010390281677246
45560.0,1358,0.0005710124969482
45560.0,859,9.775161743164062e-06
45560.0,1358,0.0219841003417968
45560.0,39,1.5974044799804688e-05
45560.0,28,6.198883056640625e-06
45560.0,49,0.0194268226623535
45560.0,36,0.0002112388610839
45560.0,28,0.0338687896728515
45560.0,1358,0.0900261402130127
45560.0,486,3.814697265625e-06
45560.0,1358,2.1457672119140625e-06
45560.0,294,1.9073486328125e-06
45560.0,1358,1.9073486328125e-06
45560.0,294,2.1457672119140625e-06
45560.0,1358,2.1457672119140625e-06
45560.0,294,9.5367431640625e-07
45560.0,1358,1.9073486328125e-06
45560.0,1358,1.9073486328125e-06
45560.0,562,2.1457672119140625e-06
45560.0,1358,0.0019319057464599
45560.0,294,1.0967254638671877e-05
45560.0,1358,9.41753387451172e-05
45560.0,1358,0.0027079582214355
45560.0,1358,8.296966552734375e-05
45560.0,1358,0.000112771987915
45560.0,1098,7.152557373046875e-06
45560.0,1358,0.0006310939788818
45943.0,45,0.000328779220581
45560.0,36,2.312660217285156e-05
45560.0,36,3.0994415283203125e-06
45560.0,36,2.86102294921875e-06
45560.0,1358,0.0021860599517822
45560.0,1358,9.512901306152344e-05
45560.0,84,4.76837158203125e-06
45560.0,36,0.0037970542907714
45560.0,36,2.408027648925781e-05
45560.0,36,2.86102294921875e-06
45943.0,85,1.0013580322265623e-05
45560.0,36,0.0024120807647705
45560.0,36,0.0003778934478759
45560.0,36,0.0003132820129394
45560.0,36,0.0005319118499755
45560.0,36,7.987022399902344e-05
45562.0,1358,0.0117311477661132
45562.0,1358,0.0233688354492187
45562.0,39,2.312660217285156e-05
45562.0,47,0.0035510063171386
45562.0,36,0.0003800392150878
45562.0,1091,0.0026912689208984
45562.0,28,0.0345597267150878
45562.0,237,2.86102294921875e-06
45562.0,261,9.5367431640625e-07
45562.0,36,0.0029020309448242
45555.0,1358,0.5479071140289307
45555.0,1358,0.0004658699035644
45555.0,982,1.2159347534179688e-05
45555.0,1066,0.0002830028533935
45555.0,28,0.0053808689117431
45555.0,28,0.0003480911254882
45555.0,154,0.1626839637756347
45555.0,26,2.193450927734375e-05
45555.0,36,0.0022130012512207
45555.0,1358,1.036802053451538
45555.0,1358,0.0004839897155761
45555.0,982,2.002716064453125e-05
45555.0,1073,0.0002210140228271
45555.0,28,0.0061500072479248
45555.0,154,0.1684799194335937
45555.0,26,0.001889944076538
45555.0,36,0.0013859272003173
45555.0,1358,0.8532602787017822
45555.0,1358,2.8848648071289062e-05
45555.0,982,2.86102294921875e-06
45555.0,1073,3.337860107421875e-06
45555.0,28,0.0062768459320068
45555.0,28,0.0259768962860107
45555.0,154,0.1459720134735107
45555.0,26,9.059906005859377e-06
45555.0,36,0.0039706230163574
45555.0,1358,0.810124397277832
45555.0,1358,2.193450927734375e-05
45555.0,982,3.0994415283203125e-06
45555.0,1073,3.337860107421875e-06
45555.0,28,0.0058846473693847
45555.0,28,0.0006699562072753
45555.0,154,0.1729178428649902
45555.0,26,0.0016441345214843
45555.0,36,0.0040719509124755
45561.0,50,0.4636139869689941
45561.0,28,0.0005292892456054
45561.0,37,0.0013778209686279
45561.0,1358,0.0691668987274169
45561.0,1358,2.5033950805664062e-05
45561.0,1207,3.0994415283203125e-06
45561.0,43,0.0060679912567138
45561.0,30,0.0016930103302001
45561.0,96,0.0204589366912841
45561.0,37,0.0161559581756591
45561.0,37,0.0453300476074218
45555.0,1358,0.1937780380249023
45555.0,1358,3.790855407714844e-05
45555.0,982,4.0531158447265625e-06
45555.0,1073,3.0994415283203125e-06
45555.0,28,0.0060539245605468
45555.0,28,0.0002508163452148
45555.0,154,0.1558561325073242
45555.0,26,0.0001440048217773
45555.0,36,0.013740062713623
