x,real_cdf,synth_cdf
1e-06,0.0,0.07330836277570105
6.699725460767268e-05,0.0,0.08301696050513209
0.00013299450921534537,0.08357220862505656,0.0915495507976844
0.00019899176382301805,0.08661801759191814,0.10352060443540471
0.00026498901843069076,0.09779205370467972,0.12272634649653888
0.0003309862730383634,0.11124644267990202,0.13187487178002621
0.00039698352764603613,0.1186974892438518,0.14337131379117407
0.00046298078225370885,0.13129785184421444,0.1641770654458326
0.0005289780368613815,0.14768433958486887,0.1795606651431578
0.0005949752914690542,0.18530628522451648,0.20299539529634156
0.0006609725460767268,0.28136711469691095,0.24370322283540308
0.0007269698006843996,0.34440618362639525,0.27454745007775017
0.0007929670552920722,0.35971893120017207,0.2875641622950849
0.0008589643098997449,0.3781741120940785,0.30622172823118876
0.0009249615645074177,0.39553710464895686,0.31465824988042973
0.0009909588191150901,0.41017454687969446,0.3307850909657623
0.0010569560737227629,0.4242176782409374,0.3477829428485762
0.0011229533283304356,0.42730745426714606,0.36611406793966317
0.0011889505829381082,0.4433216376498442,0.38936567336038624
0.001254947837545781,0.4944888226948632,0.43541862961076305
0.0013209450921534535,0.5139783651338423,0.482337391584589
0.0013869423467611263,0.5205052351411045,0.52592721732902
0.001452939601368799,0.5456339987248765,0.5448103398668706
0.0015189368559764716,0.5632673298998743,0.5670088203986844
0.0015849341105841444,0.5662691220145697,0.5710492244390885
0.0016509313651918171,0.5751807064973906,0.5807679393661367
0.0017169286197994897,0.5797014036651467,0.589574304993739
0.0017829258744071624,0.5935914445518629,0.5986437576906427
0.0018489231290148352,0.6102832174827644,0.6076396450538193
0.0019149203836225078,0.6189296917127302,0.619131020799581
0.0019809176382301805,0.6256513750473166,0.6382140075296264
0.0020469148928378535,0.6321490440449855,0.6500427651917174
0.002112912147445526,0.6406403334573274,0.6594364996052178
0.0021789094020531986,0.6435889623609649,0.6676469265854108
0.0022449066566608716,0.6542123531314146,0.6770683792864334
0.002310903911268544,0.6657777031771567,0.6811666058308964
0.0023769011658762167,0.6714137754996616,0.6858435839453745
0.0024428984204838897,0.6820740960251783,0.6913916723563662
0.002508895675091562,0.6919786975964466,0.7036993427692292
0.0025748929296992348,0.701705236489652,0.7139041963951351
0.0026408901843069073,0.7099738832386912,0.7231320405079413
0.0027068874389145803,0.7170116756931502,0.7309453890470963
0.002772884693522253,0.7220360233951939,0.7380214522812477
0.0028388819481299254,0.7260907071373777,0.7468591066736912
0.0029048792027375984,0.7319424228236521,0.7551838701455134
0.002970876457345271,0.7386365003510628,0.7608985244282791
0.0030368737119529435,0.7426503227859378,0.764737211129869
0.0031028709665606165,0.7489844978701129,0.7718044601862822
0.003168868221168289,0.754093277978893,0.7783836933784186
0.0032348654757759616,0.7612369793825566,0.7809299896747149
0.0033008627303836345,0.7683180020273046,0.7909662100356901
0.003366859984991307,0.7693863780956807,0.793787273293186
0.0034328572395989796,0.7728150096493124,0.8041422854025843
0.0034988544942066526,0.7742038985382013,0.8086842326528648
0.003564851748814325,0.7810498618260504,0.8131474131270747
0.0036308490034219977,0.7824387507149393,0.8149467833474975
0.0036968462580296707,0.7855532288294174,0.8188609247616391
0.0037628435126373433,0.7913514429609648,0.8219229212446881
0.003828840767245016,0.7982223620029365,0.8265525508743179
0.0038948380218526884,0.8035731454787199,0.8336275831303648
0.003960835276460361,0.8103429313845353,0.8378920015076864
0.004026832531068034,0.8131207091623129,0.8408937936223818
0.004092829785675707,0.8184876801542839,0.8494130620878866
0.004158827040283379,0.8243969467608941,0.8539902100860873
0.004224824294891052,0.8250282598922073,0.8677317925776699
0.0042908215494987245,0.8274443030638619,0.8735472141487028
0.004356818804106397,0.835356102110623,0.8834837381981302
0.00442281605871407,0.8371554723310458,0.8869945406672659
0.004488813313321743,0.8371554723310458,0.8922295834023086
0.004554810567929416,0.8371554723310458,0.8975915788575995
0.004620807822537088,0.846824140853881,0.9029423623333829
0.004686805077144761,0.8515015678658668,0.9071090290000493
0.004752802331752433,0.8523185613299192,0.9113894058681455
0.004818799586360106,0.8548199179979424,0.913549899695306
0.004884796840967779,0.856378354992812,0.913549899695306
0.004950794095575452,0.8585090368109939,0.9148125259579323
0.005016791350183124,0.8608400391419962,0.9160751522205586
0.005082788604790797,0.8617080946975517,0.919073889594296
0.005148785859398469,0.8637017151122248,0.9214048919252983
0.005214783114006142,0.8637017151122248,0.9214048919252983
0.0052807803686138145,0.8650906040011137,0.9214048919252983
0.005346777623221488,0.8650906040011137,0.9227937808141873
0.0054127748778291605,0.8650906040011137,0.9230177951511048
0.005478772132436833,0.8650906040011137,0.9230177951511048
0.0055447693870445056,0.8650906040011137,0.9230177951511048
0.005610766641652178,0.8675478689583787,0.9245610050276478
0.005676763896259851,0.8690910788349219,0.9261042149041911
0.005742761150867524,0.8690910788349219,0.9265127116362173
0.005808758405475197,0.8690910788349219,0.9265127116362173
0.005874755660082869,0.8690910788349219,0.9265127116362173
0.005940752914690542,0.8690910788349219,0.927174087297593
0.006006750169298214,0.8690910788349219,0.927174087297593
0.006072747423905887,0.8702484862423292,0.927174087297593
0.00613874467851356,0.8702484862423292,0.927174087297593
0.006204741933121233,0.8702484862423292,0.927174087297593
0.006270739187728905,0.8702484862423292,0.9296432231000621
0.006336736442336578,0.8713168623107053,0.9310321119889511
0.0064027336969442504,0.8713168623107053,0.9316934876503267
0.006468730951551923,0.8713168623107053,0.9333063908761332
0.0065347282061595955,0.8713168623107053,0.9333063908761332
0.006600725460767269,0.8713168623107053,0.9333063908761332
0.0066667227153749415,0.8713168623107053,0.9333063908761332
